,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company,mileage,seats
0,800 ac,2007,60000,70000,Petrol,Individual,Manual,First Owner,maruti,16.1,5
1,wagon r,2007,135000,50000,Petrol,Individual,Manual,First Owner,maruti,20.51,5
2,verna,2012,600000,100000,Diesel,Individual,Manual,First Owner,hyundai,22.32,5
4,amaze,2014,450000,141000,Diesel,Individual,Manual,Second Owner,honda,25.8,5
6,xcent,2016,550000,25000,Petrol,Individual,Manual,First Owner,hyundai,25.4,5
7,indigo,2014,240000,60000,Petrol,Individual,Manual,Second Owner,tata,19.09,5
8,creta,2015,850000,25000,Petrol,Individual,Manual,First Owner,hyundai,21.38,5
10,sail,2015,260000,35000,Petrol,Individual,Manual,First Owner,chevrolet,18.2,5
11,indigo,2014,250000,100000,Petrol,Individual,Manual,First Owner,tata,15.2,5
12,corolla altis,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,toyota,14.28,5
13,ciaz,2015,585000,24000,Petrol,Dealer,Manual,First Owner,maruti,20.73,5
15,enjoy,2013,390000,33000,Diesel,Individual,Manual,Second Owner,chevrolet,18.2,7
17,vitara brezza,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,maruti,24.3,5
20,tigor,2018,525000,15000,Petrol,Individual,Manual,First Owner,tata,24.7,5
21,a6,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,audi,18.53,5
23,corolla altis,2016,900000,50000,Petrol,Individual,Automatic,First Owner,toyota,14.28,5
24,innova,2015,1300000,80000,Diesel,Individual,Manual,First Owner,toyota,12.99,7
25,compass,2019,1400000,10000,Petrol,Individual,Manual,First Owner,jeep,16.0,5
27,i10,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,hyundai,16.95,5
29,scorpio,2014,1050000,50000,Diesel,Individual,Manual,First Owner,mahindra,14.0,7
30,city,2014,560000,74000,Diesel,Individual,Manual,Second Owner,honda,17.7,5
31,wagon r,2014,290000,64000,Petrol,Individual,Manual,Second Owner,maruti,18.9,5
32,wagon r,2012,275000,60000,Petrol,Individual,Manual,Second Owner,maruti,21.79,5
33,scorpio,2009,411000,120000,Diesel,Individual,Manual,Second Owner,mahindra,12.05,7
34,santro,2009,150000,79000,Petrol,Individual,Manual,Third Owner,hyundai,17.92,5
35,grand i10,2019,500000,15000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
36,alto,2006,100000,80000,Petrol,Individual,Manual,First Owner,maruti,19.7,5
37,swift dzire,2017,725000,18500,Diesel,Dealer,Manual,First Owner,maruti,28.4,5
38,eeco,2018,401000,10200,Petrol,Dealer,Manual,First Owner,maruti,15.37,5
39,i20,2018,750000,29000,Diesel,Dealer,Manual,First Owner,hyundai,18.6,5
41,swift,2016,665000,46000,Diesel,Dealer,Manual,First Owner,maruti,25.2,5
42,i20,2014,465000,70000,Diesel,Dealer,Manual,First Owner,hyundai,17.19,5
43,alto,2012,160000,60000,Petrol,Individual,Manual,Second Owner,maruti,19.7,5
44,city,2014,675000,90000,Diesel,Dealer,Manual,First Owner,honda,17.0,5
45,wagon r,2013,300000,80000,Petrol,Dealer,Manual,First Owner,maruti,45.528,5
46,indica,2005,70000,80000,Diesel,Individual,Manual,First Owner,tata,17.2,5
50,alto,2009,140000,100000,Petrol,Individual,Manual,First Owner,maruti,19.7,5
53,scorpio,2017,570000,60000,Diesel,Individual,Manual,First Owner,mahindra,14.0,7
54,eon,2018,300000,31000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
55,indigo,2007,100000,39000,Diesel,Individual,Manual,First Owner,tata,16.6,5
56,innova,2009,500000,120000,Diesel,Individual,Manual,Third Owner,toyota,12.8,7
57,indica,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,tata,22.3,5
58,swift,2006,130000,110000,Petrol,Individual,Manual,Third Owner,maruti,17.8,5
59,ecosport,2017,925000,35000,Diesel,Individual,Manual,First Owner,ford,23.0,5
60,ciaz,2018,750000,60000,Diesel,Individual,Manual,First Owner,maruti,28.09,5
62,i10,2010,248000,63000,Petrol,Individual,Manual,Second Owner,hyundai,20.36,5
63,rapid,2014,450000,120000,Diesel,Individual,Manual,Second Owner,skoda,21.14,5
64,getz,2005,80000,120000,Petrol,Individual,Manual,Third Owner,hyundai,14.2,5
66,grand i10,2015,450000,80000,Diesel,Individual,Manual,First Owner,hyundai,18.9,5
67,i20,2019,650000,25000,Diesel,Individual,Manual,First Owner,hyundai,22.54,5
70,creta,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,hyundai,15.8,5
71,others,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,mercedes-benz,17.9,5
72,xuv500,2015,750000,70000,Diesel,Individual,Manual,First Owner,mahindra,15.1,7
